amount,industry,dma,gender
17.6,6961,1,0
18.9,101,1,0
20,3891,1,0
28.29,101,1,2
2.37,5231,1,0
288.2,3001,1,0
31.86,9861,1,2
207.16,3541,1,0
675,7131,1,0
17.2,3971,1,1
19.95,9001,1,1
98.1,7091,1,0
81.25,9861,1,2
25,3601,1,0
255.3,2271,1,0
114.06,101,1,2
82.1,4571,1,1
695,8171,1,0
35,1571,1,2
9.14,1701,1,0
43.17,101,1,2
28.96,101,1,1
13.68,9861,1,0
127.53,5181,1,0
39.87,6991,1,0
88.9,9861,1,2
286.97,4071,1,2
14.12,3561,1,0
1299.95,6581,1,0
50,6131,1,2
12.11,5181,1,0
499.49,9001,1,0
100,3431,1,0
30.37,3971,1,1
31.9,9751,1,0
4.21,5231,1,0
20.51,3561,1,0
9.59,7561,1,0
97,5981,1,2
92.01,4181,1,0
6.56,1701,1,0
25,1701,1,1
5.04,7281,1,0
40,6741,1,0
62.87,4121,1,1
1779,7931,1,0
51,101,1,0
3.6,1211,1,0
147.39,9861,1,0
9.99,9761,1,0
27.25,9861,1,0
16.57,9861,1,0
65,6171,1,0
220,9911,1,0
37.82,4621,1,1
87.58,4271,1,0
107.65,2531,1,1
21.98,4071,1,2
52.56,251,1,0
1.99,9761,1,1
100,4431,1,0
206.1,6131,1,2
31,4431,1,1
1807.83,8941,1,0
10.85,1701,1,0
4.5,9761,1,2
60.44,871,1,0
5,8701,1,0
680.82,5181,1,1
75,4671,1,1
273.76,4121,1,1
100,7291,1,0
30,7721,1,0
71.38,3561,1,0
56.5,7281,1,0
108.85,4071,1,1
10,6991,1,1
286,5841,1,0
133.88,2121,1,2
24.38,6991,1,1
67.39,5521,1,1
54.64,4561,1,2
246.37,3001,1,0
45,9151,1,0
67.13,7291,1,0
168.77,9861,1,1
5.14,251,1,0
100,351,1,0
11.08,1701,1,0
13.9,821,1,1
3.39,7291,1,0
16,8491,1,0
1.1,8491,1,0
60.02,3561,1,1
1.06,9761,1,1
28.99,4071,1,2
94.48,5181,1,1
316.99,9861,1,1
213.96,5181,1,2
8.56,1701,1,2
22.23,4291,1,1
38.76,9861,1,1
10,8701,1,0
74.97,4561,1,2
68.51,9861,1,1
51,7221,1,0
9131.62,8921,1,1
30,7481,1,0
75,3561,1,1
269.17,4151,1,1
21.99,4171,1,2
17.02,3971,1,0
29.99,4071,1,2
165,4281,1,2
906.2,8951,1,1
5.49,4291,1,1
7,3971,1,0
5,3971,1,0
389.87,4151,1,1
29.97,9951,1,2
139.5,5521,1,2
25.05,3601,1,1
48.3,3431,1,2
92.54,4151,1,1
3602.8,7931,1,1
14.45,9751,1,1
93.89,4151,1,1
174.92,2271,1,1
21.73,4601,1,1
4.33,1701,1,1
