Customer,Trans_Date,Amount,Industry Code,DMA Code,Gender
"331,111,347,018",12/17/2018,17.6,6961,1,M
"37,977,867,004",12/17/2018,18.9,101,1,M
"4,383,462,017",12/17/2018,20,3891,1,M
"825,419,827,019",12/17/2018,28.29,101,1,U
"821,588,923,020",12/17/2018,2.37,5231,1,M
"419,691,717,018",12/17/2018,288.2,3001,1,M
"873,378,701,012",12/17/2018,31.86,9861,1,U
"57,999,211,016",12/17/2018,207.16,3541,1,M
"23,976,798,020",12/17/2018,675,7131,1,M
"859,783,877,020",12/17/2018,17.2,3971,1,F
"51,723,339,017",12/17/2018,19.95,9001,1,F
"132,845,393,011",12/17/2018,98.1,7091,1,M
"825,419,827,019",12/17/2018,81.25,9861,1,U
"23,976,798,020",12/17/2018,25,3601,1,M
"26,304,058,013",12/17/2018,255.3,2271,1,M
"873,378,701,012",12/17/2018,114.06,101,1,U
"27,360,656,016",12/17/2018,82.1,4571,1,F
"23,976,798,020",12/17/2018,695,8171,1,M
"789,358,763,013",12/17/2018,35,1571,1,U
"25,921,106,020",12/17/2018,9.14,1701,1,M
"873,378,701,012",12/17/2018,43.17,101,1,U
"27,360,656,016",12/17/2018,28.96,101,1,F
"180,501,339,016",12/17/2018,13.68,9861,1,M
"26,304,058,013",12/17/2018,127.53,5181,1,M
"23,976,798,020",12/17/2018,39.87,6991,1,M
"825,419,827,019",12/17/2018,88.9,9861,1,U
"719,651,232,017",12/17/2018,286.97,4071,1,U
"26,304,058,013",12/17/2018,14.12,3561,1,M
"23,976,798,020",12/17/2018,"1,299.95",6581,1,M
"719,651,232,017",12/17/2018,50,6131,1,U
"26,304,058,013",12/17/2018,12.11,5181,1,M
"525,454,519,020",12/17/2018,499.49,9001,1,M
"23,976,798,020",12/17/2018,100,3431,1,M
"859,783,877,020",12/17/2018,30.37,3971,1,F
"644,017,108,017",12/17/2018,31.9,9751,1,M
"821,588,923,020",12/17/2018,4.21,5231,1,M
"385,319,407,015",12/17/2018,20.51,3561,1,M
"23,976,798,020",12/17/2018,9.59,7561,1,M
"31,967,515,017",12/17/2018,97,5981,1,U
"644,017,108,017",12/17/2018,92.01,4181,1,M
"821,588,923,020",12/17/2018,6.56,1701,1,M
"27,360,656,016",12/17/2018,25,1701,1,F
"644,017,108,017",12/17/2018,5.04,7281,1,M
"644,017,108,017",12/17/2018,40,6741,1,M
"27,360,656,016",12/17/2018,62.87,4121,1,F
"25,921,106,020",12/17/2018,"1,779.00",7931,1,M
"385,319,407,015",12/17/2018,51,101,1,M
"644,017,108,017",12/17/2018,3.6,1211,1,M
"25,921,106,020",12/17/2018,147.39,9861,1,M
"23,976,798,020",12/17/2018,9.99,9761,1,M
"58,469,918,011",12/17/2018,27.25,9861,1,M
"25,921,106,020",12/17/2018,16.57,9861,1,M
